date;actual;prev;art
nov-18;0;0;36633331
d‚c-18;0;0;36633331
janv-19;0;0;36633331
f‚vr-19;0;0;36633331
mars-19;0;0;36633331
avr-19;0;0;36633331
mai-19;0;0;36633331
juin-19;0;0;36633331
juil-19;3;0;36633331
ao–t-19;0;0;36633331
nov-18;1;1.754276075;60191215
d‚c-18;2;2.833507465;60191215
janv-19;0;0.906544331;60191215
f‚vr-19;0;0.890996907;60191215
mars-19;0;0.870243854;60191215
avr-19;1;1.778981862;60191215
mai-19;1;1.749242049;60191215
juin-19;0;0.781660702;60191215
juil-19;3;2.662410968;60191215
ao–t-19;0;0.707168169;60191215
nov-18;0;-0.719868349;60191530
d‚c-18;0;-0.718859591;60191530
janv-19;3;0.814955522;60191530
f‚vr-19;1;0.249911459;60191530
mars-19;0;-0.713692342;60191530
avr-19;1;0.254030036;60191530
mai-19;0;-0.709370624;60191530
juin-19;0;-0.707200442;60191530
juil-19;0;-0.705121337;60191530
ao–t-19;0;-0.703194838;60191530
nov-18;1;0.645256083;60388524
d‚c-18;1;0.692618426;60388524
janv-19;3;2.661268205;60388524
f‚vr-19;2;1.331257645;60388524
mars-19;3;2.656593925;60388524
avr-19;2;1.360829444;60388524
mai-19;2;1.356143235;60388524
juin-19;1;0.86147241;60388524
juil-19;3;2.686754235;60388524
ao–t-19;1;0.616659329;60388524
nov-18;0;0.299848276;60388552
d‚c-18;0;0.295065629;60388552
janv-19;1;0.760323438;60388552
f‚vr-19;2;2.158382666;60388552
mars-19;1;0.712298067;60388552
avr-19;0;0.058321304;60388552
mai-19;1;0.6368516;60388552
juin-19;3;1.938189959;60388552
juil-19;6;2.421884409;60388552
ao–t-19;0;-0.13483653;60388552
nov-18;1;-0.668494005;60388573
d‚c-18;1;-0.565368836;60388573
janv-19;2;0.726954087;60388573
f‚vr-19;1;-0.46140867;60388573
mars-19;4;2.706915143;60388573
avr-19;1;-0.638653308;60388573
mai-19;-1;-1.180862461;60388573
juin-19;3;0.846863671;60388573
juil-19;4;2.67106559;60388573
ao–t-19;2;0.786078309;60388573
nov-18;1;1.18937942;60388580
d‚c-18;0;0.34376446;60388580
janv-19;1;1.138707688;60388580
f‚vr-19;1;1.111518341;60388580
mars-19;0;0.161163054;60388580
avr-19;0;0.009110941;60388580
mai-19;0;0.110699454;60388580
juin-19;1;1.012362794;60388580
juil-19;2;2.234653026;60388580
ao–t-19;0;0.159317256;60388580
nov-18;0;1.643697795;60454576
d‚c-18;1;1.650331697;60454576
janv-19;1;1.915170343;60454576
f‚vr-19;1;1.915988626;60454576
mars-19;3;4.478546808;60454576
avr-19;1;1.908772974;60454576
mai-19;2;3.188515168;60454576
juin-19;0;1.890525847;60454576
juil-19;7;4.525104491;60454576
ao–t-19;3;4.510424706;60454576
nov-18;2;2.541949099;60454590
d‚c-18;1;2.539831276;60454590
janv-19;0;2.870640552;60454590
f‚vr-19;6;6.421375383;60454590
mars-19;6;6.42143454;60454590
avr-19;3;3.861929896;60454590
mai-19;6;6.425346568;60454590
juin-19;1;2.545447036;60454590
juil-19;6;6.435423488;60454590
ao–t-19;2;2.558920634;60454590
nov-18;6;5.38606976;61117735
d‚c-18;5;5.386797206;61117735
janv-19;4;4.909586755;61117735
f‚vr-19;6;5.261054422;61117735
mars-19;5;5.242753982;61117735
avr-19;1;3.453149001;61117735
mai-19;5;5.295792167;61117735
juin-19;3;4.07632402;61117735
juil-19;3;4.174336421;61117735
ao–t-19;1;3.773674094;61117735
nov-18;11;12.96674126;62182680
d‚c-18;18;12.92695589;62182680
janv-19;20;13.23551701;62182680
f‚vr-19;10;11.48663241;62182680
mars-19;11;13.14514398;62182680
avr-19;16;13.10055542;62182680
mai-19;6;10.21153897;62182680
juin-19;7;9.395787284;62182680
juil-19;13;12.63058028;62182680
ao–t-19;3;7.548852958;62182680
nov-18;90;111.9636356;62183023
d‚c-18;97;125.9298687;62183023
janv-19;82;111.2942661;62183023
f‚vr-19;89;110.8197699;62183023
mars-19;94;110.2667201;62183023
avr-19;92;109.6479953;62183023
mai-19;88;108.9776713;62183023
juin-19;79;103.3571489;62183023
juil-19;85;107.5427087;62183023
ao–t-19;85;106.8094225;62183023
nov-18;1;-0.224138722;62594840
d‚c-18;-1;-0.224903223;62594840
janv-19;0;0.195689447;62594840
f‚vr-19;0;-0.139517561;62594840
mars-19;0;-0.261623291;62594840
avr-19;0;0.072758176;62594840
mai-19;0;0.103369859;62594840
juin-19;0;0.103436501;62594840
juil-19;0;0.072955319;62594840
ao–t-19;0;-0.26130386;62594840
nov-18;15;17.59303548;63931931
d‚c-18;18;17.51476653;63931931
janv-19;15;17.52236709;63931931
f‚vr-19;10;14.91907863;63931931
mars-19;14;17.63955003;63931931
avr-19;18;17.24478403;63931931
mai-19;15;17.45906842;63931931
juin-19;12;16.35816428;63931931
juil-19;23;17.00503212;63931931
ao–t-19;11;14.61306438;63931931
nov-18;0;-2.475830245;63932421
d‚c-18;0;-2.517688594;63932421
janv-19;0;-2.573008805;63932421
f‚vr-19;0;-2.641230057;63932421
mars-19;1;-2.721501301;63932421
avr-19;0;-2.81270579;63932421
mai-19;0;-2.913491753;63932421
juin-19;0;-3.02230834;63932421
juil-19;0;-3.137445874;63932421
ao–t-19;0;-3.25707934;63932421
nov-18;202;216.9525417;64133391
d‚c-18;310;218.2997887;64133391
janv-19;194;215.000888;64133391
f‚vr-19;207;214.1866411;64133391
mars-19;241;215.8929253;64133391
avr-19;236;213.0596667;64133391
mai-19;227;212.8041925;64133391
juin-19;185;213.3580813;64133391
juil-19;190;213.0073089;64133391
ao–t-19;180;205.667408;64133391
nov-18;12;10.98989885;64133804
d‚c-18;10;10.99185955;64133804
janv-19;16;12.94614957;64133804
f‚vr-19;11;10.81298465;64133804
mars-19;18;13.02313589;64133804
avr-19;12;10.91891094;64133804
mai-19;14;13.15703946;64133804
juin-19;21;13.24363234;64133804
juil-19;13;13.34190391;64133804
ao–t-19;13;13.45051065;64133804
nov-18;13;28.21481404;64937481
d‚c-18;23;28.12312544;64937481
janv-19;34;37.83851894;64937481
f‚vr-19;50;50.17044387;64937481
mars-19;53;50.21331671;64937481
avr-19;59;50.30461726;64937481
mai-19;50;50.44391911;64937481
juin-19;41;48.20487575;64937481
juil-19;38;46.73703644;64937481
ao–t-19;20;29.02437722;64937481
nov-18;302;445.765377;65742852
d‚c-18;341;442.4889133;65742852
janv-19;330;452.2906454;65742852
f‚vr-19;438;536.2535562;65742852
mars-19;571;571.261749;65742852
avr-19;549;566.9816032;65742852
mai-19;670;562.7639708;65742852
juin-19;627;558.7315305;65742852
juil-19;401;506.0550883;65742852
ao–t-19;478;532.4737286;65742852
nov-18;185;201.818322;65752911
d‚c-18;321;201.3842898;65752911
janv-19;272;206.0778887;65752911
f‚vr-19;293;206.0338334;65752911
mars-19;273;206.2044981;65752911
avr-19;213;206.595412;65752911
mai-19;193;207.2060833;65752911
juin-19;252;208.0299625;65752911
juil-19;298;209.0545803;65752911
ao–t-19;194;210.261856;65752911
nov-18;24;25.73667615;65774121
d‚c-18;27;25.54655157;65774121
janv-19;29;25.33650738;65774121
f‚vr-19;33;25.11339928;65774121
mars-19;15;23.6325253;65774121
avr-19;31;24.6563435;65774121
mai-19;17;22.63228052;65774121
juin-19;23;24.23171185;65774121
juil-19;29;24.04816384;65774121
ao–t-19;24;23.8917148;65774121
nov-18;11;12.11327659;65998023
d‚c-18;10;12.09377291;65998023
janv-19;21;13.19009385;65998023
f‚vr-19;56;12.77946197;65998023
mars-19;41;12.77139366;65998023
avr-19;20;13.16690632;65998023
mai-19;6;11.22406942;65998023
juin-19;8;10.82627287;65998023
juil-19;9;10.97506837;65998023
ao–t-19;9;10.60614629;65998023
nov-18;159;171.1352226;66192686
d‚c-18;165;171.1465369;66192686
janv-19;181;170.9985483;66192686
f‚vr-19;164;170.6875714;66192686
mars-19;162;170.2126765;66192686
avr-19;200;169.5757752;66192686
mai-19;181;168.7816477;66192686
juin-19;205;167.8379086;66192686
juil-19;199;166.7549127;66192686
ao–t-19;178;165.5456009;66192686
nov-18;1238;1354.41075;66416903
d‚c-18;548;1037.991679;66416903
janv-19;417;1055.232915;66416903
f‚vr-19;317;1119.087055;66416903
mars-19;339;1082.622606;66416903
avr-19;258;1077.8499;66416903
mai-19;241;1074.022024;66416903
juin-19;350;1071.23751;66416903
juil-19;1702;1734.382426;66416903
ao–t-19;633;1005.97165;66416903
nov-18;0;-1.948879316;66446996
d‚c-18;0;-1.939691687;66446996
janv-19;1;-1.611622796;66446996
